,Attendees,Sex,Average_height,Average_weight,Sport,Team
0,2135,M,181.94519906323185,77.06697892271663,Athletics,United States
1,1031,M,181.3443258971872,74.70417070805044,Athletics,Great Britain
2,842,F,170.37410926365797,61.96318289786223,Athletics,United States
3,805,M,179.38136645962732,72.56273291925466,Athletics,France
4,733,M,182.35743519781718,77.44611186903138,Athletics,Germany
5,695,M,180.0244604316547,75.2589928057554,Athletics,Finland
6,695,M,187.53956834532374,82.39568345323741,Swimming,United States
7,661,M,168.5249621785174,64.93948562783662,Gymnastics,United States
8,642,M,163.22585669781932,58.898753894081,Gymnastics,Japan
9,625,F,174.2,63.9824,Swimming,United States
10,620,M,181.23709677419356,75.50483870967741,Athletics,Sweden
11,611,F,169.69558101472995,60.37806873977087,Athletics,Great Britain
12,581,M,169.08777969018934,63.721170395869194,Gymnastics,France
13,539,M,179.9925788497217,73.45640074211502,Athletics,Italy
14,525,M,181.0457142857143,74.2,Athletics,Canada
15,525,M,186.40761904761905,81.44571428571429,Swimming,Australia
16,519,M,174.2466281310212,65.44508670520231,Athletics,Japan
17,518,F,171.56756756756758,61.95945945945946,Swimming,Australia
18,515,M,181.25242718446603,76.91844660194175,Athletics,Poland
19,512,M,168.18359375,62.33984375,Gymnastics,Bulgaria
20,504,M,181.0297619047619,78.0515873015873,Athletics,Soviet Union
21,499,M,181.61523046092185,74.19839679358718,Athletics,Australia
22,493,M,184.78904665314403,78.74442190669372,Swimming,Great Britain
23,486,F,155.12962962962962,47.31687242798354,Gymnastics,United States
24,470,M,167.69148936170214,66.54042553191489,Gymnastics,Italy
25,467,M,188.57173447537474,84.46466809421841,Rowing,United States
26,466,F,170.9785407725322,62.03004291845494,Swimming,Great Britain
27,458,M,168.41921397379912,63.75545851528384,Gymnastics,Romania
28,445,M,167.41123595505618,63.00674157303371,Gymnastics,Switzerland
29,430,F,172.06744186046512,64.43255813953489,Athletics,Germany
30,422,M,169.00947867298578,63.53791469194313,Gymnastics,Hungary
31,421,F,171.6128266033254,61.14489311163896,Swimming,Canada
32,408,M,178.12254901960785,70.23039215686275,Athletics,Spain
33,406,F,154.2807881773399,45.556650246305416,Gymnastics,Romania
34,395,F,151.32911392405063,43.87341772151899,Gymnastics,Japan
35,393,M,185.323155216285,80.34351145038168,Swimming,Canada
36,388,M,166.06443298969072,61.873711340206185,Gymnastics,Germany
37,378,M,164.37566137566137,59.7010582010582,Gymnastics,South Korea
38,378,M,185.66666666666666,77.80423280423281,Swimming,Italy
39,371,F,165.4043126684636,57.36388140161725,Swimming,Japan
40,370,M,168.65675675675675,65.34594594594594,Gymnastics,Great Britain
41,367,F,158.9782016348774,49.63487738419619,Gymnastics,Hungary
42,365,M,181.42739726027398,79.0931506849315,Athletics,Hungary
43,364,M,162.94505494505495,57.05494505494506,Gymnastics,China
44,362,F,156.16298342541435,49.049723756906076,Gymnastics,Canada
45,359,M,169.35654596100278,64.94150417827298,Gymnastics,Soviet Union
46,357,F,169.82913165266106,59.80112044817927,Athletics,Australia
47,357,M,186.40056022408965,79.53221288515407,Swimming,France
48,350,F,157.23714285714286,49.12285714285714,Gymnastics,France
49,347,M,181.14121037463977,75.79538904899135,Fencing,France
50,342,M,181.72222222222223,85.53508771929825,Ice Hockey,United States
51,341,M,176.9824046920821,71.78592375366568,Swimming,Japan
52,340,F,155.93235294117648,50.726470588235294,Gymnastics,Great Britain
53,338,M,168.66272189349112,63.53846153846154,Gymnastics,Poland
54,338,M,188.86686390532543,86.2396449704142,Rowing,Great Britain
55,338,M,184.5532544378698,78.10355029585799,Swimming,Hungary
56,335,M,176.96119402985076,70.66567164179105,Cross Country Skiing,Finland
57,333,M,181.95195195195194,76.34834834834835,Athletics,Jamaica
58,332,M,174.53614457831324,64.08734939759036,Athletics,Kenya
59,331,F,168.79456193353474,58.99093655589124,Athletics,Canada
60,327,F,172.45565749235473,63.14678899082569,Athletics,Russia
61,326,M,167.98466257668713,63.69938650306749,Gymnastics,Czechoslovakia
62,323,M,167.43962848297213,63.860681114551085,Gymnastics,Canada
63,322,F,169.59006211180125,59.72981366459627,Athletics,Jamaica
64,319,F,175.87774294670845,65.77115987460814,Swimming,Netherlands
65,318,M,185.26100628930817,83.42138364779875,Rowing,Italy
66,317,M,171.45425867507888,64.64511041009463,Gymnastics,Finland
67,316,F,169.22784810126583,58.73101265822785,Athletics,France
68,312,M,188.84935897435898,85.2948717948718,Rowing,Australia
69,311,M,182.9614147909968,78.07073954983923,Fencing,United States
70,310,M,181.4258064516129,84.06612903225806,Ice Hockey,Finland
71,308,M,181.08441558441558,76.98376623376623,Fencing,Italy
72,307,F,169.8110749185668,61.30944625407166,Athletics,Poland
73,305,M,185.08524590163935,79.5967213114754,Swimming,Brazil
74,305,F,172.727868852459,63.43934426229508,Swimming,China
75,303,F,158.25082508250824,48.55115511551155,Gymnastics,Bulgaria
76,302,M,180.29470198675497,71.54966887417218,Athletics,Brazil
77,302,F,170.00331125827816,64.97682119205298,Athletics,Soviet Union
78,300,M,182.16,77.24,Fencing,Hungary
79,296,M,178.86148648648648,72.95945945945945,Cycling,France
80,295,F,158.6406779661017,50.50508474576271,Gymnastics,Czechoslovakia
81,295,F,159.64745762711865,52.76271186440678,Gymnastics,Poland
82,295,M,182.79661016949152,86.49830508474577,Ice Hockey,Canada
83,292,M,179.7876712328767,73.17808219178082,Cycling,Great Britain
84,291,M,178.88659793814432,73.90034364261169,Fencing,Poland
85,291,M,183.00343642611685,84.9381443298969,Ice Hockey,Sweden
86,289,F,156.92387543252596,48.8477508650519,Gymnastics,Italy
87,287,F,156.9512195121951,48.292682926829265,Gymnastics,Soviet Union
88,285,M,179.37894736842105,74.15789473684211,Cycling,Australia
89,284,M,190.07042253521126,84.49647887323944,Swimming,Germany
90,283,M,168.63957597173146,65.92932862190813,Gymnastics,Spain
91,277,F,149.15162454873646,39.83393501805054,Gymnastics,China
92,277,F,172.9025270758123,61.151624548736464,Swimming,France
93,271,F,177.41328413284134,65.45018450184502,Swimming,Germany
94,270,F,174.77407407407406,63.84074074074074,Swimming,Sweden
95,268,M,189.37686567164178,85.03358208955224,Rowing,Canada
96,266,F,171.13533834586465,58.91353383458647,Swimming,Italy
97,266,M,185.8233082706767,79.2406015037594,Swimming,Sweden
98,265,M,181.55849056603773,77.88301886792453,Athletics,Greece
99,264,M,180.85227272727272,73.89393939393939,Cross Country Skiing,Sweden
100,262,M,183.293893129771,76.87404580152672,Swimming,Soviet Union
101,261,M,180.15325670498083,75.08045977011494,Cross Country Skiing,United States
102,256,M,175.96875,69.9296875,Cross Country Skiing,Italy
103,256,M,185.69140625,81.73046875,Rowing,France
104,253,M,180.25296442687747,74.99604743083005,Cycling,United States
105,253,M,181.10276679841897,76.6403162055336,Fencing,Great Britain
106,252,M,174.36904761904762,78.46825396825396,Wrestling,United States
107,251,M,183.003984063745,76.2988047808765,Cycling,Netherlands
108,248,M,190.54435483870967,86.56854838709677,Rowing,Germany
109,248,M,179.06048387096774,82.88709677419355,Shooting,United States
110,246,M,180.5569105691057,77.8821138211382,Athletics,Cuba
111,246,M,179.6341463414634,76.59756097560975,Athletics,Czechoslovakia
112,246,M,167.2560975609756,65.63821138211382,Gymnastics,Cuba
113,245,M,178.73877551020408,82.96326530612245,Alpine Skiing,United States
114,244,F,170.64754098360655,66.14754098360656,Athletics,China
115,244,M,184.5737704918033,80.59426229508196,Athletics,West Germany
116,243,F,167.52674897119343,63.17695473251029,Alpine Skiing,United States
117,242,F,166.28925619834712,58.0,Cross Country Skiing,Finland
118,240,M,185.525,81.97916666666667,Athletics,Russia
119,240,M,167.43333333333334,62.46666666666667,Gymnastics,East Germany
120,240,M,170.6,65.43333333333334,Gymnastics,West Germany
121,239,M,176.94142259414227,73.17991631799163,Hockey,Spain
122,238,F,172.44957983193277,62.38655462184874,Athletics,Ukraine
123,238,F,154.7310924369748,47.09243697478992,Gymnastics,Australia
124,238,M,179.47058823529412,76.6218487394958,Speed Skating,United States
125,236,M,187.50423728813558,85.2542372881356,Rowing,Poland
126,235,F,166.5659574468085,58.92765957446809,Cross Country Skiing,Sweden
127,234,M,182.31623931623932,75.1880341880342,Cross Country Skiing,Norway
128,232,M,177.3706896551724,71.87068965517241,Cycling,Italy
129,232,M,171.58620689655172,69.78017241379311,Speed Skating,Japan
130,231,F,152.021645021645,41.83116883116883,Gymnastics,Spain
131,229,M,177.70305676855895,79.68122270742359,Alpine Skiing,Switzerland
132,226,M,175.641592920354,69.429203539823,Cross Country Skiing,Switzerland
133,226,M,181.49557522123894,78.49115044247787,Hockey,Netherlands
134,223,M,166.12107623318386,62.74439461883408,Gymnastics,Russia
135,223,F,166.39013452914799,61.12107623318386,Speed Skating,United States
136,222,M,197.44594594594594,94.72972972972973,Basketball,United States
137,220,M,179.4,82.19090909090909,Alpine Skiing,Austria
138,220,M,177.4227272727273,79.18636363636364,Alpine Skiing,Italy
139,220,F,169.1,57.50454545454546,Athletics,Italy
140,219,M,178.74885844748857,75.52054794520548,Hockey,Australia
141,219,M,189.6255707762557,84.46575342465754,Rowing,Netherlands
142,218,M,188.61009174311926,80.39908256880734,Swimming,Russia
143,217,M,173.76497695852535,63.45622119815668,Athletics,Mexico
144,215,M,181.76279069767443,75.97209302325581,Athletics,Norway
145,215,F,171.7767441860465,61.325581395348834,Swimming,Hungary
146,213,F,168.2488262910798,62.74647887323944,Alpine Skiing,Austria
147,212,M,180.91037735849056,75.59905660377359,Athletics,Nigeria
148,212,M,183.49056603773585,80.18867924528301,Speed Skating,Netherlands
149,211,F,170.82464454976304,60.62559241706161,Athletics,Romania
150,211,F,160.34597156398104,56.61611374407583,Speed Skating,Japan
151,210,F,177.45714285714286,70.81904761904762,Rowing,United States
152,208,M,175.93269230769232,69.07692307692308,Equestrianism,France
153,207,M,169.76328502415458,67.56521739130434,Gymnastics,Yugoslavia
154,206,M,179.89805825242718,70.66990291262135,Athletics,Belgium
155,206,M,177.93203883495147,71.5,Swimming,Mexico
156,205,M,180.66341463414633,75.1609756097561,Swimming,Spain
157,204,M,189.08333333333334,80.58333333333333,Swimming,Netherlands
158,203,F,160.55172413793105,49.7192118226601,Gymnastics,Germany
159,202,M,180.02475247524754,73.88118811881188,Athletics,Switzerland
160,201,F,166.53731343283582,57.80597014925373,Cross Country Skiing,United States
161,201,M,179.7910447761194,76.14427860696517,Hockey,Great Britain
162,200,F,177.645,72.41,Rowing,Romania
163,199,M,186.28140703517587,84.95979899497488,Rowing,Soviet Union
164,198,M,171.64141414141415,66.92929292929293,Hockey,India
165,197,M,177.39086294416245,77.80203045685279,Alpine Skiing,France
166,197,M,171.75634517766497,76.58121827411168,Wrestling,Bulgaria
167,196,M,178.5,75.45408163265306,Cycling,Poland
168,196,M,184.41326530612244,78.48979591836735,Swimming,China
169,195,M,181.3230769230769,73.73333333333333,Athletics,South Africa
170,195,M,181.75384615384615,78.45128205128205,Canoeing,United States
171,195,F,170.37948717948717,59.45128205128205,Cross Country Skiing,Norway
172,194,M,183.50515463917526,83.69072164948453,Canoeing,Hungary
173,194,M,177.33505154639175,71.87628865979381,Cross Country Skiing,France
174,193,M,180.89637305699483,76.95854922279793,Canoeing,France
175,193,M,181.13471502590673,73.30051813471502,Cycling,Denmark
176,193,M,177.720207253886,71.83419689119171,Cycling,Spain
177,193,M,170.40414507772022,75.48704663212435,Wrestling,Japan
178,192,M,168.19270833333334,62.947916666666664,Cross Country Skiing,Japan
179,191,F,171.71204188481676,62.31937172774869,Swimming,East Germany
180,189,M,181.42857142857142,81.4973544973545,Canoeing,Poland
181,189,M,181.57142857142858,83.87301587301587,Ice Hockey,Norway
182,188,M,188.00531914893617,79.48404255319149,Swimming,West Germany
183,188,M,189.65425531914894,90.87234042553192,Water Polo,Hungary
184,188,M,174.9468085106383,81.0372340425532,Wrestling,Hungary
185,187,M,181.3101604278075,77.90374331550802,Cycling,Germany
186,187,M,182.40106951871658,79.52941176470588,Speed Skating,Norway
187,186,M,180.55376344086022,83.34408602150538,Ice Hockey,Switzerland
188,186,M,172.61827956989248,76.8763440860215,Wrestling,Turkey
189,185,F,170.2972972972973,66.68648648648649,Athletics,Cuba
190,185,M,176.5027027027027,67.78378378378379,Athletics,Portugal
191,184,M,184.07608695652175,82.15760869565217,Athletics,East Germany
192,184,M,180.89673913043478,79.57608695652173,Canoeing,Canada
193,184,M,173.0923913043478,68.82065217391305,Hockey,Pakistan
194,184,M,186.47282608695653,84.93478260869566,Water Polo,Italy
195,183,F,167.55191256830602,63.666666666666664,Alpine Skiing,Switzerland
196,183,M,179.1639344262295,81.80327868852459,Ice Hockey,Czechoslovakia
197,183,F,171.82513661202185,64.57377049180327,Speed Skating,Netherlands
198,182,F,173.07142857142858,66.06043956043956,Athletics,East Germany
199,182,M,173.35714285714286,58.879120879120876,Athletics,Ethiopia
200,182,M,175.05494505494505,79.14285714285714,Shooting,Italy
201,181,M,175.73480662983425,75.77900552486187,Ice Hockey,Poland
202,180,F,170.87777777777777,64.57222222222222,Athletics,Bulgaria
203,180,F,159.36666666666667,46.266666666666666,Gymnastics,East Germany
204,179,M,179.26256983240222,76.51396648044692,Fencing,Soviet Union
205,179,F,169.59217877094972,64.72625698324022,Speed Skating,Canada
206,179,F,171.11173184357543,59.5195530726257,Swimming,Spain
207,178,F,166.19662921348313,60.98876404494382,Alpine Skiing,France
