,Percentage,Attendees,Sex,Medal,Gold,Team,Sport,Year
0,0.07894736842105263,342,M,27,11,United States,Gymnastics,1904
1,0.018575851393188854,323,M,6,3,United States,Art Competitions,1932
2,0.05928853754940711,253,M,15,5,France,Fencing,1900
3,0.11290322580645161,186,M,21,11,Great Britain,Athletics,1908
4,0.2677595628415301,183,M,49,23,United States,Athletics,1912
5,0.18032786885245902,183,M,33,15,Sweden,Athletics,1912
6,0.267515923566879,157,M,42,21,Sweden,Shooting,1912
7,0.4228187919463087,149,M,63,21,United States,Athletics,1904
8,0.2867132867132867,143,M,41,19,United States,Athletics,1908
9,0.02097902097902098,143,M,3,1,France,Art Competitions,1924
10,0.022727272727272728,132,M,3,1,Great Britain,Art Competitions,1948
11,0.05343511450381679,131,M,7,1,Germany,Art Competitions,1928
12,0.10852713178294573,129,M,14,6,Germany,Art Competitions,1936
13,0.3,120,M,36,16,United States,Athletics,1920
14,0.2773109243697479,119,M,33,8,Great Britain,Shooting,1908
15,0.42857142857142855,112,M,48,18,United States,Athletics,1924
16,0.1981981981981982,111,M,22,5,Great Britain,Athletics,1912
17,0.24074074074074073,108,M,26,1,Sweden,Athletics,1920
18,0.06481481481481481,108,M,7,1,Greece,Athletics,1906
19,0.027777777777777776,108,M,3,1,France,Gymnastics,1900
20,0.6037735849056604,106,M,64,46,United States,Shooting,1920
21,0.08080808080808081,99,M,8,0,France,Athletics,1924
22,0.08163265306122448,98,M,8,2,Greece,Shooting,1906
23,0.3829787234042553,94,M,36,20,United States,Shooting,1912
24,0.42857142857142855,91,M,39,16,United States,Athletics,1900
25,0.30337078651685395,89,M,27,14,United States,Athletics,1928
26,0.25287356321839083,87,M,22,3,Great Britain,Athletics,1924
27,0.05747126436781609,87,M,5,0,Russia,Shooting,1912
28,0.36470588235294116,85,M,31,4,Great Britain,Shooting,1912
29,0.11764705882352941,85,M,10,1,France,Athletics,1920
30,0.32142857142857145,84,M,27,20,Finland,Athletics,1924
31,0.05952380952380952,84,M,5,1,Austria,Art Competitions,1936
32,0.0,82,M,0,0,United States,Art Competitions,1928
33,0.037037037037037035,81,M,3,1,Germany,Art Competitions,1932
34,0.024691358024691357,81,M,2,0,Japan,Art Competitions,1936
35,0.012345679012345678,81,F,1,0,United States,Art Competitions,1932
36,0.4430379746835443,79,M,35,1,Sweden,Shooting,1920
37,0.06329113924050633,79,M,5,1,Italy,Art Competitions,1936
38,0.012658227848101266,79,M,1,1,Great Britain,Art Competitions,1928
39,0.0,78,M,0,0,Belgium,Athletics,1920
40,0.3246753246753247,77,M,25,7,Great Britain,Athletics,1920
41,0.2894736842105263,76,M,22,12,United States,Athletics,1988
42,0.05263157894736842,76,M,4,1,France,Art Competitions,1928
43,0.4266666666666667,75,M,32,17,United States,Athletics,1984
44,0.38666666666666666,75,M,29,17,United States,Athletics,1992
45,0.4189189189189189,74,M,31,17,United States,Athletics,1948
46,0.35135135135135137,74,M,26,18,United States,Athletics,1964
47,0.32432432432432434,74,M,24,14,United States,Athletics,1996
48,0.0945945945945946,74,M,7,1,Germany,Athletics,1964
49,0.410958904109589,73,M,30,18,United States,Athletics,1968
50,0.3424657534246575,73,F,25,15,United States,Athletics,2016
51,0.2876712328767123,73,M,21,12,United States,Athletics,2016
52,0.1780821917808219,73,M,13,5,Germany,Athletics,1960
53,0.5,72,M,36,17,United States,Athletics,1952
54,0.4166666666666667,72,M,30,15,Soviet Union,Athletics,1980
55,0.3888888888888889,72,M,28,12,United States,Athletics,2004
56,0.3472222222222222,72,M,25,12,United States,Athletics,1960
57,0.2361111111111111,72,M,17,10,United States,Athletics,2000
58,0.19444444444444445,72,M,14,2,Switzerland,Gymnastics,1924
59,0.18055555555555555,72,M,13,1,France,Gymnastics,1924
60,0.1388888888888889,72,M,10,9,Italy,Gymnastics,1924
